shopid,itemid
8114349,607642570
8690455,1632591920
13062645,1569229324
32610410,453152604
32610410,453112137
8114349,56050865
13062645,1626136517
65856135,2488910912
32610410,453115571
27846350,1907036678
13062645,1507524713
65642742,1336155710
32610410,709146705
21387430,690777782
6769895,165125727
1441381,2219475284
6769895,48087167
8114349,1863571161
8690455,141304864
32610410,453115490
13062645,257733292
8690455,141301245
8690455,2346815741
321297,1766664835
8114349,705881368
32610410,453102226
21387430,699144040
8690455,2009755621
13062645,121019400
65642742,2081578071
32610410,453100254
22212828,707597023
27423955,379462171
65642742,1339209821
13062645,595568748
14981723,470861801
27423955,654918217
76605909,1524063888
32610410,588906909
32610410,453150785
27423955,436365388
48069124,778769688
32610410,453102386
32610410,453101729
32610410,453150802
32610410,453113179
27423955,1284384423
32610410,453111449
70823336,1346087889
27846350,1995851279
13062645,257729559
13062645,121820355
48069124,1247150632
27846350,1904290250
27846350,1907068508
32610410,453100866
48069124,804670908
27846350,1760356558
8690455,1282838966
32610410,453106942
32610410,453100228
8114349,47986244
8114349,80487114
27423955,725226377
8690455,738345488
21387430,368892235
32610410,453149082
27846350,1628849376
34450546,2339855010
32610410,453102234
27423955,1642780955
13062645,1711004934
40458507,1774220441
13062645,1486750601
27423955,364632497
34450546,1793976742
13062645,1639404165
13062645,138056577
13062645,136683335
13062645,1926446965
27846350,1912781955
27423955,346829306
13062645,122373962
18305635,1679797309
21387430,2261935520
27846350,1912770643
32610410,1631184283
75419935,1766895132
13062645,2105565432
48069124,757057874
13062645,865671317
32610410,453112057
32610410,453113192
154261815,2471198681
32610410,453115498
48069124,791797515
32610410,453115494
115590474,2460860070
32610410,453110025
32610410,453133117
1441381,1942458081
13062645,712235828
1441381,2252083405
32610410,453100164
32610410,453112151
65642742,1375818904
27846350,1802932448
32610410,595513271
13062645,1336078097
13062645,127023834
32610410,453149926
13062645,1336107042
7690511,2388912596
13062645,138756914
32610410,453133126
32610410,453100136
32610410,453133128
44570779,2496264952
48069124,758116393
32610410,453111401
27846350,1912624231
32610410,453150414
27846350,1797110734
13062645,137431436
7690511,1363371426
32610410,453100893
27846350,1906719319
27846350,2074645757
13062645,1639055843
119391772,2356023061
32610410,453115531
27846350,1994621558
32610410,453113251
34450546,688332422
34450546,2023679514
65642742,2105798246
32610410,576654650
13062645,1940836234
32610410,453149098
1441381,1942460832
22133925,803674748
32610410,453100169
48069124,2299422851
27846350,1918756889
32610410,453111307
32610410,453101750
1441381,2464608362
13062645,1500434166
27846350,1918783146
32610410,453106972
32610410,453113176
32610410,453150809
27846350,1800223861
27153906,2347557232
48069124,761693519
6769895,165134767
27846350,1904323056
27846350,1796896440
32610410,453106994
27846350,1906296880
27846350,1628595820
27846350,1795635472
32610410,453111349
48069124,929580522
32610410,453101794
27846350,1913591227
13062645,2124244539
48069124,2195062751
27423955,364569052
27846350,1906306783
7690511,1335005769
13135948,109845634
13135948,1263297510
13135948,1263290120
48069124,778795772
75419935,1923263362
32610410,453110080
27846350,1993237607
7690511,1461585454
13062645,1336372443
5838602,208106806
27846350,1795550127
27423955,364615696
13062645,128432429
47108885,2150401899
27423955,755145219
21387430,390429924
21387430,1454368482
48069124,1745897852
48069124,791783809
22212828,274858031
48069124,2347927566
27423955,346829245
7690511,1363715401
13062645,128218134
13062645,1676444762
157606515,2388559674
8114349,896250289
159300911,2376158452
76993485,2216890204
27846350,1995769960
32610410,595520336
8690455,2051797083
32610410,453133026
8690455,1903387622
13062645,728262193
13062645,1684987567
32610410,453149938
32610410,453100897
47108885,1851174390
32610410,453112094
70823336,1346402859
65856135,2365627083
32610410,453150021
13062645,128220005
